,Unnamed: 0_x,fipsCode,amount_land,amount_water,latitude,longitude,venue_id,brand,state_x,city,daily_traffic_avg,home_air_distance_kilometers_median,home_air_distance_kilometers_25th_pct,home_air_distance_75th_kilometers_pct,work_air_distance_kilometers_median,work_air_distance_25th_kilometers_pct,work_air_distance_75th_kilometers_pct,traffic_fraction,people_fraction,venue_air_distance,population,Unnamed: 0_y,state_y,map_count_by_city,Unnamed: 0,state,daily_traffic_avg_avg,home_air_distance_kilometers_median_avg,home_air_distance_kilometers_25th_pct_avg,home_air_distance_75th_kilometers_pct_avg,work_air_distance_kilometers_median_avg,work_air_distance_25th_kilometers_pct_avg,work_air_distance_75th_kilometers_pct_avg,income_mean,income_median
16,16,80010085261,5303239.0,31690,39.9487613,-104.9743823,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.011,0.013,1.369,1481,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
17,17,80010085261,5303239.0,31690,39.9487613,-104.9743823,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.003,0.005,5.1110000000000015,1481,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
18,18,80010085262,593598.0,0,39.9356525,-104.964275,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006999999999999999,0.009000000000000001,1.3630000000000002,1569,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
19,19,80010085263,321336.0,66649,39.9320652,-104.9734755,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.011,0.009000000000000001,1.3119999999999998,1283,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
20,20,80010085264,425607.0,0,39.93644129999999,-104.9700322,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.003,0.005,1.812,918,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
21,21,80010085265,596650.0,0,39.9388374,-104.9744431,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.014,0.01,1.724,1459,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
22,22,80010085265,596650.0,0,39.9388374,-104.9744431,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.003,0.003,6.0310000000000015,1459,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
23,23,80010085291,1273572.0,298340,39.9251409,-104.9531166,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.008,0.011,1.26,2265,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
24,24,80010085291,1273572.0,298340,39.9251409,-104.9531166,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.003,6.959,2265,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
25,26,80010085293,3704092.0,90384,39.9202989,-104.973423,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.038,0.023,0.0,2307,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
